episode,reward,r_agent1,r_agent2,r_agent3
1,16.26332982,7.343607665,2.711669547,4.554634284
2,15.20111369,5.414820116,7.365503534,7.963323169
3,25.5690116,11.33573639,6.283930403,2.721657782
4,4.831052901,11.47684925,4.513860995,2.956539012
5,22.5312422,7.530957279,8.861320035,12.70562702
6,22.57503205,8.664121945,11.35128673,4.406428741
7,12.78346949,4.613018666,10.14754193,10.87904395
8,25.92712317,12.47250548,7.296597278,10.63881091
9,9.551366057,8.403143956,3.164185112,2.98547815
10,13.90668982,13.51698377,11.19008758,7.875117374
11,33.38031727,15.66025882,13.25850471,4.526385345
12,35.57034322,20.97393178,14.52342885,6.896946467
13,27.20731312,9.26655397,11.9414678,5.493172753
14,32.94352652,14.28257007,8.57731297,9.849960918
15,39.42411521,18.35199088,7.97536241,7.607658962
16,42.36939806,24.0606677,12.79356953,8.983379335
17,33.972004,12.59909132,8.620472746,6.719577412
18,46.91306806,23.77398423,17.65404509,6.561027245
19,44.56509833,14.90514318,13.58792976,4.615873244
20,34.32679247,17.25355868,8.440770301,11.02028224
21,45.21464702,16.68043697,6.056024401,2.562684438
22,34.94534158,18.9251151,9.596986643,7.686980613
23,33.85440236,14.9249963,12.38052754,5.213113436
24,29.79692358,15.49591211,8.431545554,11.62135285
25,42.93825076,14.84339761,12.96630206,7.423967472
26,26.15414935,9.372013591,10.5119688,6.346028518
27,44.4227728,23.66989007,8.31477083,6.910951038
28,52.26527698,22.50576317,11.17473079,7.294446943
29,58.02880865,21.91381628,10.62457847,8.987743798
30,30.32550295,17.63092971,6.514554761,10.08134763
31,32.55459433,19.30835616,9.947011574,9.562557356
32,32.09932394,15.23735204,6.904350082,5.138999352
33,62.33147758,27.3482314,18.5756596,12.53944427
34,46.4766558,19.27261285,8.858849827,3.390473586
35,56.95123832,26.41961718,15.19063948,10.85874597
36,41.68516947,15.26387209,8.231411687,9.705727167
37,64.44871754,28.2399429,16.27904384,8.827978255
38,40.80752685,20.1245713,15.92341814,9.814615095
39,49.64228144,18.19518336,11.3753063,9.435704869
40,58.86002044,25.75175231,14.74689773,14.55009324
41,56.91954459,23.52533413,14.36571666,5.276558399
42,68.10199765,24.33606373,12.64093813,8.089583487
43,71.70246323,27.77047748,18.13349158,14.48881385
44,68.52060801,29.09842104,10.33745224,13.30211027
45,59.11083966,20.23518481,12.71921161,8.640194476
46,57.4966462,22.72813428,8.717406485,10.00702243
47,58.51531127,24.18844308,16.41451373,14.37809015
48,62.71538098,28.66869639,19.50884045,11.84324173
49,73.18664749,32.98808312,12.7110791,14.04833313
50,67.44066454,22.74195199,11.39430408,4.995598834
51,58.89945276,23.92269221,10.08310172,6.938291755
52,72.06802101,32.06667807,12.45257936,4.776132717
53,56.47961606,24.84979938,9.329926326,4.732878531
54,65.07644841,30.91825086,19.01703568,15.37392409
55,81.69837422,32.41853167,20.53339677,15.59435147
56,72.20518463,26.87060199,14.47220001,13.32806375
57,57.93228484,26.60972759,17.05767917,14.67236591
58,64.73936436,27.5543078,18.24932906,12.89661042
59,65.02967752,30.05899242,16.28274477,14.04467787
60,83.68877999,37.18718734,20.9526253,14.60722432
61,77.36985576,30.78140926,11.76940795,4.036002856
62,63.3819575,24.33779298,17.46843421,9.74655573
63,89.49657089,36.50766204,15.01492509,12.06538283
64,85.53866018,35.38219554,14.19579105,11.89710411
65,89.4622204,37.51726417,15.20264618,12.6637059
66,69.32330999,26.44128016,9.810646014,6.831829324
67,86.06172677,36.19877053,21.93175185,10.46906201
68,87.63169126,30.56778963,12.1524139,10.85426784
69,92.46950261,31.12167311,17.37134769,6.843571788
70,76.36055733,29.14427867,13.31185003,14.25365066
71,88.19155405,34.93690033,12.20614764,11.66596918
72,90.32316101,35.1600397,19.22608192,14.49998937
73,98.07082939,35.08888664,15.93718019,9.953160308
74,77.33582423,34.70351191,13.90066165,13.3022096
75,85.47236562,34.88792,13.52575805,11.45483907
76,85.58028801,28.99571087,15.97378469,10.7702407
77,90.50779875,34.60935702,15.59220209,5.403867786
78,107.3068587,37.69117792,14.78279354,13.22027058
79,101.9113933,40.71128107,17.80892522,13.12605835
80,85.34347299,36.74981719,22.07054685,11.40975978
81,88.65541957,33.24707687,19.00155219,11.37842595
82,87.39538688,32.71122415,11.49673542,13.13429654
83,84.39922181,37.80536535,20.43272469,15.54908644
84,86.3677427,37.44009175,21.19071067,12.40955293
85,97.87057086,41.66104327,18.4285841,8.899978046
86,103.0848443,36.59695208,19.96725607,15.06996512
87,102.0097653,39.72708897,17.78871831,12.22053181
88,112.5395869,45.87809958,17.6640362,13.99572713
89,118.0063589,46.18069606,23.04807583,15.48034442
90,98.31387231,36.92216695,18.64548266,6.462122569
91,100.7222022,40.4851852,21.72246101,10.91029637
92,105.7595782,44.83427409,19.31830833,16.02095477
93,102.0206922,39.3305545,14.93535729,5.227667439
94,115.0501385,41.68213192,22.25311535,15.21297707
95,124.002997,42.85387941,17.884614,11.14252473
96,124.9543296,49.49162965,23.94288848,16.95711547
97,123.7720525,46.17393903,19.3496363,14.38119386
98,101.6462098,43.1174713,19.87674619,12.85565117
99,125.13073,47.73960563,19.343593,8.297654218
100,115.16687,43.9276625,17.17364577,7.686470484
